"x"
"ALAS2"
"DEFA3"
"CAMP"
"HBD"
"DEFA4"
"NFE2"
"S100A12"
"SPTA1"
"BPI"
"E2F2"
"APOBEC3A"
"OLFM4"
"ANK1"
"CEACAM8"
"AMPD3"
"LTF"
"MPO"
"CA1"
"AHSP"
"CLC"
"YPEL4"
"MYB"
"XK"
"KAT2B"
"ATG16L2"
"ARHGAP9"
"FAM117A"
"HBG1"
"SLC22A16"
"LMO2"
"SNX20"
"NKG7"
"NAV2"
"GYPB"
"RHCE"
"RGL4"
"CR1L"
"NTNG2"
"GAPT"
"C11orf21"
"CXCL12"
"DNASE1L3"
"PLAC8"
"PRTN3"
"RNASE2"
"PGLYRP1"
"SNCA"
"CD5L"
"IGLL1"
"KCNH2"
"TRAF3IP3"
"IGLL5"
"HP"
"ELANE"
"CTSG"
"ARRB2"
"PF4"
"GPR132"
"GYPA"
"OPA3"
"S100A8"
"MBNL3"
"ITGAM"
"SLC4A1"
"YOD1"
"CMTM2"
"H2BFXP"
"CLEC4D"
"MNDA"
"DHRS9"
"HEMGN"
"DOK3"
"ATP1B2"
"FGD3"
"ABCA13"
"RETN"
"ART4"
"HCLS1"
"FABP4"
"DPY19L1P1"
"AMPH"
"RELA"
"PRKCB"
"LAT2"
"ALOX5AP"
"DCT"
"DBP"
"DGCR8"
"BPGM"
"TUBB1"
"CFP"
"RHD"
"HMBS"
"HBZ"
"RAB37"
"C19orf59"
"TCN1"
"LILRB2"
"PRR5"
"LST1"
"MYADM"
"VWA5B2"
"FAM46C"
"SEC22A"
"INPP5D"
"TMEM173"
"CCL14"
"KIAA0513"
"CSF3R"
"CYP4F3"
"SLCO5A1"
"CST7"
"CXorf21"
"PADI4"
"C7orf51"
"EVI2B"
"FCN2"
"CEACAM1"
"FCN1"
"P2RY13"
"PPBP"
"E2F8"
"TRIM58"
"FAM65B"
"TNXB"
"TMEM86B"
"ADH1C"
"PRG2"
"ATP8B4"
"GMFG"
"TNFAIP8L2"
"SLCO3A1"
"MAP2K3"
"PROK2"
"SLC2A1"
"AMICA1"
"LILRA1"
"TSPAN5"
"EIF2C4"
"CFD"
"KEL"
"MS4A3"
"CAT"
"FRZB"
"MAGEA10"
"MMP25"
"EMB"
"TMEM170B"
"MMP8"
"TNFRSF10C"
"LOC100133161"
"C1orf162"
"MYO1F"
"HBQ1"
"ABCC13"
"LYST"
"LMO7"
"FGR"
"PCSK7"
"PIGQ"
"ADAMTS13"
"APBB1IP"
"MYL4"
"NCF2"
"SLAMF7"
"SELP"
"SUSD3"
"MINK1"
"SIGLEC5"
"ABCB10"
"SLC14A1"
"BTG2"
"SERPINB10"
"ACAP1"
"DCDC5"
"RGS18"
"C10orf54"
"RANBP10"
"RFESD"
"RAC2"
"ALOX5"
"IPCEF1"
"C12orf51"
"GMPR"
"ACSL6"
"ORM1"
"CYGB"
"APOL3"
"ZBP1"
"RNF123"
"C5orf4"
"FRAT2"
"NCF1"
"METTL7A"
"ARG1"
"AZU1"
"FPR1"
"FAM129C"
"CHRDL1"
"MPP1"
"DOCK8"
"GLT1D1"
"CYBB"
"EPX"
"FMO2"
"TNS1"
"SPANXB2"
"CCDC88B"
"PTPN7"
"SIGLEC11"
"FAM101B"
"OPN1LW"
"MFNG"
"ADD2"
"FAM78A"
"CRLF3"
"C2CD2L"
"ROPN1L"
"ITGA2B"
"STK10"
"SLC35F2"
"CDKN2D"
"BTNL8"
"APOBR"
"BIN2"
"TRIM10"
"FYB"
"LEPR"
"PLBD1"
"MAGEE1"
"CCL23"
"CHST2"
"TRPM6"
"BRAT1"
"MAP3K3"
"SRGN"
"RILP"
"PYCARD"
"CIDECP"
"RNASE3"
"CCR2"
"ARAP1"
"GPCPD1"
"IL16"
"CBL"
"SPTB"
"SETD7"
"ADAM33"
"IKZF1"
"GP1BA"
"FCGR3A"
"MGC21881"
"PTPRC"
"ADD1"
"AGAP2"
"TMEM143"
"MLC1"
"SMR3A"
"ATG4D"
"PIM1"
"GATA1"
"LCP1"
"NCAN"
"SEC14L4"
"RASSF5"
"ORM2"
"NRGN"
"NUDT13"
"SLA"
"SLC24A4"
"TTPAL"
"CTSW"
"CTSS"
"SLC25A40"
"HBA1"
"RASSF2"
"PRSS21"
"ERMAP"
"IGKV1D-8"
"IGLV6-57"
"PPP1R12C"
"DEFA1"
"ADH1A"
"FBXO7"
"CD36"
"FLJ14186"
"SUSD1"
"TAF1L"
"SELL"
"ZNF850"
"DACH1"
"SNCB"
"ZNF646"
"UBA7"
"DECR2"
"C15orf50"
"TMED10P1"
