"x"
"WDR1"
"MGC13114"
"KLC4"
"BTBD5"
"RPS26"
"VAMP3"
"CNIH"
"MXRA8"
"STX18"
"MYBPC1"
"RPL3"
"TMEM57"
"CACNA1B"
"THOP1"
"AKAP12"
"P2RY11"
"PRDM10"
"KCNK4"
"ANKRD11"
"PON1"
"LRRC51"
"IGKC"
"CPNE6"
"SYN1"
"ADSSL1"
"ABCB8"
"ZNF676"
"ZSCAN2"
"SSSCA1"
"MMP16"
"C12orf52"
"ICAM3"
"ZNF283"
"CCDC5"
"CKB"
