"","x"
"334","AGO2"
"335","BCOR"
"336","CMTR2"
"337","RPTOR"
"338","CCNB1IP1"
"339","ARHGEF28"
"340","PALB2"
"341","SETD3"
"342","MAML2"
"343","HIST1H2BK"
"344","SLFN11"
"345","NEGR1"
"346","BCL9L"
"347","ABL1"
"348","ACVR1"
"349","ATP1A1"
"350","PRDM1"
"351","BTK"
"352","BUB1B"
"353","RUNX2"
"354","CTNNB1"
"355","ELN"
"356","ERCC3"
"357","ETV5"
"358","EWSR1"
"359","EXT2"
"360","EZH1"
"361","FLT3"
"362","GPC3"
"363","GTF2I"
"364","HSP90AA1"
"365","IRF1"
"366","IRF4"
"367","ITK"
"368","JAK2"
"369","LPP"
"370","MITF"
"371","MLH1"
"372","MN1"
"373","MPL"
"374","NBN"
"375","NFKB2"
"376","NONO"
"377","PIK3R2"
"378","MAP2K1"
"379","PTK7"
"380","RAD21"
"381","RAD52"
"382","RALGDS"
"383","RAP1GDS1"
"384","RARA"
"385","RECQL"
"386","ATXN7"
"387","SLC1A2"
"388","STAT5B"
"389","TEK"
"390","TFE3"
"391","VAV2"
"392","CCDC6"
"393","HIST1H3E"
"394","HIST1H3B"
"395","RAD54L"
"396","ASMTL"
"397","TRIM24"
"398","SMC3"
"399","APOBEC3B"
"400","SNCAIP"
"401","SH2B3"
"402","STAG1"
"403","CARM1"
"404","SLC34A2"
"405","STAG2"
"406","SP140"
"407","IKZF3"
"408","FNBP1"
"409","SF3B1"
"410","LATS2"
"411","EML4"
"412","IL21R"
"413","LEF1"
"414","HDAC7"
"415","ZNF331"
"416","RBM15"
"417","CRTC3"
"418","HOOK3"
"419","MEF2B"
"420","ACTB"
"421","ALOX12B"
"422","AR"
"423","ATF1"
"424","ATP6V1B2"
"425","BCR"
"426","CARS"
"427","CDH1"
"428","CSF3R"
"429","DDB2"
"430","DTX1"
"431","EGR1"
"432","ELF3"
"433","ESR1"
"434","ETS1"
"435","ETV6"
"436","EZH2"
"437","FH"
"438","FOXO1"
"439","FLI1"
"440","FYN"
"441","HIST1H1E"
"442","HOXC13"
"443","HSD3B1"
"444","IRF8"
"445","IDH1"
"446","MAP3K1"
"447","MET"
"448","MSN"
"449","MYCL"
"450","CNOT3"
"451","NUP98"
"452","OMD"
"453","PIK3C3"
"454","PRKACA"
"455","REL"
"456","SGK1"
"457","SOX2"
"458","STAT6"
"459","TYRO3"
"460","WT1"
"461","YY1"
"462","ZMYM2"
"463","TUSC3"
"464","SHOC2"
"465","PICALM"
"466","BAP1"
"467","HIST1H3G"
"468","RABEP1"
"469","GAB2"
"470","PARP2"
"471","GPHN"
"472","PLK2"
"473","CHEK2"
"474","DROSHA"
"475","APH1A"
"476","RTEL1"
"477","ETAA1"
"478","NSD3"
"479","GOPC"
"480","SALL4"
"481","MAPKAP1"
"482","TBL1XR1"
"483","WDCP"
"484","SESN2"
"485","CREB3L1"
"486","SESN3"
"487","FLCN"
"488","ECT2L"
"489","PARP1"
"490","AKT2"
"491","XIAP"
"492","ARAF"
"493","CCND1"
"494","DDR1"
"495","CAD"
"496","RUNX1"
"497","CCNE1"
"498","CD22"
"499","CD74"
"500","CDC42"
"501","CSF1R"
"502","DDX5"
"503","ERCC4"
"504","EXT1"
"505","FANCC"
"506","ACSL3"
"507","FGFR2"
"508","KDSR"
"509","GAB1"
"510","GSK3B"
"511","MSH6"
"512","FOXA1"
"513","KCNJ5"
"514","KIF5B"
"515","KTN1"
"516","MCL1"
"517","MDM2"
"518","MRE11"
"519","MUTYH"
"520","MYB"
"521","NFE2"
"522","NTRK1"
"523","NTRK2"
"524","PAK1"
"525","PAK3"
"526","PAX7"
"527","PCM1"
"528","PGR"
"529","PPP2R1A"
"530","PRCC"
"531","PRKAR1A"
"532","PRKCI"
"533","PTPN2"
"534","RAF1"
"535","REST"
"536","RPL22"
"537","SERPINB4"
"538","SH3GL1"
"539","STIL"
"540","SMARCA1"
"541","SMO"
"542","SS18"
"543","STAT5A"
"544","TCEA1"
"545","TBX3"
"546","TCF12"
"547","TERT"
"548","TMPRSS2"
"549","TSHR"
"550","SMC1A"
"551","TNFRSF11A"
"552","PHOX2B"
"553","RPS6KA4"
"554","PCSK7"
"555","AURKB"
"556","GOLGA5"
"557","ABI1"
"558","SEPTIN6"
"559","PATZ1"
"560","SESN1"
"561","SBDS"
"562","ZBTB7A"
"563","TRIM33"
"564","SUFU"
"565","RNF43"
"566","FANCL"
"567","KBTBD4"
"568","PAG1"
"569","DUSP22"
"570","CREB3L2"
"571","NADK"
"572","PGBD5"
"573","SETD6"
"574","CD276"
"575","SETD7"
"576","NUF2"
"577","SPRTN"
"578","ESCO2"
"579","EZHIP"
"580","ACTG1"
"581","BIRC3"
"582","ATP6AP1"
"583","BCL3"
"584","KLF5"
"585","CD79A"
"586","CDKN1B"
"587","KLF6"
"588","CSF1"
"589","CTLA4"
"590","CYP17A1"
"591","CYP19A1"
"592","DAXX"
"593","DDIT3"
"594","DDX6"
"595","DDX10"
"596","EIF4A2"
"597","ERG"
"598","FANCF"
"599","FGF10"
"600","FOXO3"
"601","FUS"
"602","GATA2"
"603","GNA11"
"604","GPS2"
"605","NRG1"
"606","HLF"
"607","HOXA11"
"608","HOXA13"
"609","INHA"
"610","INHBA"
"611","INSR"
"612","EIF3E"
"613","IRS1"
"614","KLK2"
"615","LMNA"
"616","FOXO4"
"617","MTAP"
"618","MYCN"
"619","NACA"
"620","PCBP1"
"621","PDCD1"
"622","PDK1"
"623","PIGA"
"624","PML"
"625","RPN1"
"626","RPS6KB2"
"627","RXRA"
"628","SDHB"
"629","MAP2K4"
"630","SMARCD1"
"631","SMARCE1"
"632","STRN"
"633","ELOC"
"634","TGFBR1"
"635","TSC1"
